,origin_x,origin_y,destination_x,destination_y,treq,u_PT_OD,origin,hub,dist,ttrav,tarr,u,u_PT_HD,u_SUM_OD,p_SUM
98,19.87768891,50.00809563,19.99966176410213,50.09904757947195,2024-03-28 07:54:03,20.50876582700859,967785548,1989392511,1741,290.1666666666667,2024-03-28 07:58:53,3.482,16.181384661610103,22.2433846616101,0.14999773316439713
99,19.87635355,50.02012006,19.92604983564809,50.063908405043826,2024-03-28 07:46:56,8.611349962350033,502433086,1989392511,1673,278.8333333333333,2024-03-28 07:51:34,3.346,4.1331937217564745,10.059193721756476,0.19033363537307596
100,19.87129467,50.00480505,19.916389654045158,50.091967584235206,2024-03-28 07:50:21,15.456056842049218,1349553538,1989392511,2553,425.5,2024-03-28 07:57:26,5.106,13.972416165366226,21.658416165366226,0.0020205572795005903
101,19.87397024,50.00764861,19.90664300481499,50.03013095170665,2024-03-28 07:56:21,16.792261127804995,295825420,1989392511,2147,357.8333333333333,2024-03-28 08:02:18,4.294,9.726220526308996,16.600220526308995,0.5478631429419972
102,19.88333897,50.01292177,19.993903154375786,50.042594453079346,2024-03-28 08:13:08,15.115279548829601,3600093249,1989392511,873,145.5,2024-03-28 08:15:33,1.746,10.725550413504298,15.051550413504298,0.515926893735417
103,19.86350624,50.00736412,19.92604983564809,50.063908405043826,2024-03-28 07:56:14,17.42664375934997,1349556852,1989392511,2938,489.6666666666667,2024-03-28 08:04:23,5.876,14.736757969870347,23.19275796987035,0.0031221256216432446
104,19.87568474,50.014478,19.971092603205765,50.06354811678362,2024-03-28 08:10:52,16.642492368390485,967785623,1989392511,1502,250.33333333333334,2024-03-28 08:15:02,3.004,9.0985150375693,14.6825150375693,0.8765304990887532
105,19.88424083,50.01410012,19.98485702298316,50.08796386842873,2024-03-28 08:03:15,16.07351736823722,3005106299,1989392511,1132,188.66666666666666,2024-03-28 08:06:23,2.264,9.098744022464139,13.942744022464138,0.8938584022886209
106,19.86082188,50.00551453,19.929784097900736,50.06302852505976,2024-03-28 08:00:14,21.58287368413877,967785552,1989392511,3168,528.0,2024-03-28 08:09:02,6.336,13.185944360854037,22.101944360854034,0.37306956621714815
107,19.86705364,50.01584535,19.938498264089006,50.062474167174344,2024-03-28 07:59:31,8.104154398439471,1349565614,1989392511,1962,327.0,2024-03-28 08:04:58,3.924,4.1331937217564745,10.637193721756475,0.07357421445375509
